Year,Date,Month,Station,Salin_Top,Salin_Mid,Salin_Bot,Salin_Bot_1.5,Temp_Top,Temp_Mid,Temp_Bot,Temp_Bot_1.5
2002,2002-07-31,7,218,12.8,13.7,NA,NA,8.4,8.5,NA,NA
2002,2002-08-01,8,218,13.3,13.2,NA,NA,9.8,9.7,NA,NA
2002,2002-08-02,8,218,16.2,16.1,NA,NA,10.6,10.6,NA,NA
2002,2002-08-03,8,218,18,17.8,NA,NA,10,10,NA,NA
2002,2002-08-04,8,218,17.3,17.3,17.5,NA,9.4,9.4,9.4,NA
2002,2002-08-05,8,218,16.9,16.9,16.9,NA,7.2,7.2,7.2,NA
2002,2002-08-06,8,218,17.7,17.7,17.6,NA,6.4,6.3,6.3,NA
2002,2002-08-07,8,218,19,18.9,NA,NA,6.4,6.4,NA,NA
2002,2002-08-08,8,218,18.7,16.5,NA,NA,6.5,6.4,NA,NA
2002,2002-08-09,8,218,NA,NA,NA,NA,4.4,5,NA,NA
2002,2002-08-10,8,218,19,19,NA,NA,6.5,6.4,NA,NA
2002,2002-08-11,8,218,18.9,18.9,NA,NA,5.8,5.8,NA,NA
2002,2002-08-12,8,218,15.9,16,NA,NA,5.6,5.6,NA,NA
2002,2002-08-13,8,218,16.5,16.5,NA,NA,5.1,5.1,NA,NA
2002,2002-08-14,8,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-15,8,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-16,8,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-17,8,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-18,8,218,18.6,20.3,24.6,NA,3.9,3.9,4.5,NA
2002,2002-08-19,8,218,11.8,12.4,24.1,NA,3.8,3.7,4.5,NA
2002,2002-08-20,8,218,8.3,8.3,NA,NA,3.2,3.2,3.6,NA
2002,2002-08-21,8,218,8.4,9.7,NA,NA,3.5,3.7,NA,NA
2002,2002-08-22,8,218,7.2,7.2,NA,NA,3.8,3.7,NA,NA
2002,2002-08-23,8,218,9.5,10.3,NA,NA,4.8,4.6,NA,NA
2002,2002-08-24,8,218,7.3,7.4,NA,NA,4.9,4.9,NA,NA
2002,2002-08-25,8,218,20.5,20.4,20.6,NA,3.9,3.8,NA,NA
2002,2002-08-26,8,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-27,8,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-28,8,218,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-06-30,6,220,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-01,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-02,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-03,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-04,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-05,7,220,NA,NA,NA,NA,NA,NA,NA,NA
